Colonne,Type,Valeurs Nulles,Nulls (%),Valeurs Uniques,Exemple (masqué)
Time,float64,0,0.0,124592,0.0****
V1,float64,0,0.0,275663,-1.3****
V2,float64,0,0.0,275663,-0.0****
V3,float64,0,0.0,275663,2.53****
V4,float64,0,0.0,275663,1.37****
V5,float64,0,0.0,275663,-0.3****
V6,float64,0,0.0,275663,0.46****
V7,float64,0,0.0,275663,0.23****
V8,float64,0,0.0,275663,0.09****
V9,float64,0,0.0,275663,0.36****
V10,float64,0,0.0,275663,0.09****
V11,float64,0,0.0,275663,-0.5****
V12,float64,0,0.0,275663,-0.6****
V13,float64,0,0.0,275663,-0.9****
V14,float64,0,0.0,275663,-0.3****
V15,float64,0,0.0,275663,1.46****
V16,float64,0,0.0,275663,-0.4****
V17,float64,0,0.0,275663,0.20****
V18,float64,0,0.0,275663,0.02****
V19,float64,0,0.0,275663,0.40****
V20,float64,0,0.0,275663,0.25****
V21,float64,0,0.0,275663,-0.0****
V22,float64,0,0.0,275663,0.27****
V23,float64,0,0.0,275663,-0.1****
V24,float64,0,0.0,275663,0.06****
V25,float64,0,0.0,275663,0.12****
V26,float64,0,0.0,275663,-0.1****
V27,float64,0,0.0,275663,0.13****
V28,float64,0,0.0,275663,-0.0****
Amount,float64,0,0.0,32767,149.****
Class,int64,0,0.0,2,0****
