Colonne,count,mean,std,min,25%,50%,75%,max
Time,284807.0,94813.86,47488.15,0.0,54201.5,84692.0,139320.5,172792.0
V1,284807.0,0.0,1.96,-56.41,-0.92,0.02,1.32,2.45
V2,284807.0,0.0,1.65,-72.72,-0.6,0.07,0.8,22.06
V3,284807.0,-0.0,1.52,-48.33,-0.89,0.18,1.03,9.38
V4,284807.0,0.0,1.42,-5.68,-0.85,-0.02,0.74,16.88
V5,284807.0,0.0,1.38,-113.74,-0.69,-0.05,0.61,34.8
V6,284807.0,0.0,1.33,-26.16,-0.77,-0.27,0.4,73.3
V7,284807.0,-0.0,1.24,-43.56,-0.55,0.04,0.57,120.59
V8,284807.0,0.0,1.19,-73.22,-0.21,0.02,0.33,20.01
V9,284807.0,-0.0,1.1,-13.43,-0.64,-0.05,0.6,15.59
V10,284807.0,0.0,1.09,-24.59,-0.54,-0.09,0.45,23.75
V11,284807.0,0.0,1.02,-4.8,-0.76,-0.03,0.74,12.02
V12,284807.0,-0.0,1.0,-18.68,-0.41,0.14,0.62,7.85
V13,284807.0,0.0,1.0,-5.79,-0.65,-0.01,0.66,7.13
V14,284807.0,0.0,0.96,-19.21,-0.43,0.05,0.49,10.53
V15,284807.0,0.0,0.92,-4.5,-0.58,0.05,0.65,8.88
V16,284807.0,0.0,0.88,-14.13,-0.47,0.07,0.52,17.32
V17,284807.0,-0.0,0.85,-25.16,-0.48,-0.07,0.4,9.25
V18,284807.0,0.0,0.84,-9.5,-0.5,-0.0,0.5,5.04
V19,284807.0,0.0,0.81,-7.21,-0.46,0.0,0.46,5.59
V20,284807.0,0.0,0.77,-54.5,-0.21,-0.06,0.13,39.42
V21,284807.0,0.0,0.73,-34.83,-0.23,-0.03,0.19,27.2
V22,284807.0,-0.0,0.73,-10.93,-0.54,0.01,0.53,10.5
V23,284807.0,0.0,0.62,-44.81,-0.16,-0.01,0.15,22.53
V24,284807.0,0.0,0.61,-2.84,-0.35,0.04,0.44,4.58
V25,284807.0,0.0,0.52,-10.3,-0.32,0.02,0.35,7.52
V26,284807.0,0.0,0.48,-2.6,-0.33,-0.05,0.24,3.52
V27,284807.0,-0.0,0.4,-22.57,-0.07,0.0,0.09,31.61
V28,284807.0,-0.0,0.33,-15.43,-0.05,0.01,0.08,33.85
Amount,284807.0,88.35,250.12,0.0,5.6,22.0,77.16,25691.16
Class,284807.0,0.0,0.04,0.0,0.0,0.0,0.0,1.0
